"","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v10r","v11r","v12r","v13r","v14r","v15r","v16r","v17r","v18r","v19r","somaescala"
"1","22/07/2013 19:31:52",NA,22,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Incompleto","Sim","Concordo","Discordo","Concordo","Concordo Plenamente","Discordo","Discordo Plenamente","Concordo Plenamente","Discordo","Discordo Plenamente","Concordo Plenamente",3,2,3,4,2,1,4,2,1,4,26
"2","22/07/2013 19:32:59",NA,23,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Incompleto","Sim","Concordo Plenamente","Concordo","Concordo","Discordo","Concordo Plenamente","Concordo Plenamente","Concordo","Discordo","Concordo Plenamente","Discordo Plenamente",4,3,3,2,4,4,3,2,4,1,30
"3","22/07/2013 19:34:35",NA,22,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Incompleto","Não","Concordo","Discordo Plenamente","Concordo","Concordo","Discordo","Concordo","Concordo","Concordo","Discordo","Concordo",3,1,3,3,2,3,3,3,2,3,26
"4","22/07/2013 19:34:46",NA,21,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Incompleto","Não","Discordo","Concordo","Discordo","Concordo","Discordo","Concordo","Discordo","Concordo","Discordo","Concordo",2,3,2,3,2,3,2,3,2,3,25
"5","22/07/2013 19:35:16",NA,26,NA,NA,"Feminino","Divorciado(a)/Separado(a)","Ensino Médio Completo","Sim","Discordo","Concordo","Discordo","Concordo Plenamente","Concordo","Concordo","Concordo Plenamente","Concordo Plenamente","Concordo","Discordo",2,3,2,4,3,3,4,4,3,2,30
"6","22/07/2013 19:37:39",NA,20,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Incompleto","Sim","Concordo","Discordo Plenamente","Concordo Plenamente","Concordo Plenamente","Discordo Plenamente","Discordo Plenamente","Concordo","Discordo Plenamente","Discordo Plenamente","Concordo",3,1,4,4,1,1,3,1,1,3,22
"7","22/07/2013 19:43:43",NA,27,NA,NA,"Masculino","Solteiro(a)","Ensino Médio Completo","Sim","Concordo Plenamente","Concordo","Concordo Plenamente","Concordo Plenamente","Concordo","Concordo Plenamente","Concordo Plenamente","Concordo Plenamente","Discordo","Concordo Plenamente",4,3,4,4,3,4,4,4,2,4,36
"8","22/07/2013 19:44:34",NA,16,NA,NA,"Feminino","Solteiro(a)","Ensino Médio Incompleto","Sim","Concordo","Concordo","Concordo Plenamente","Concordo Plenamente","Concordo","Concordo","Concordo","Discordo","Discordo","Concordo",3,3,4,4,3,3,3,2,2,3,30
"9","22/07/2013 19:50:35",NA,23,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Incompleto","Não","Concordo","Discordo Plenamente","Concordo Plenamente","Concordo Plenamente","Concordo Plenamente","Discordo Plenamente","Concordo Plenamente","Discordo Plenamente","Discordo Plenamente","Concordo",3,1,4,4,4,1,4,1,1,3,26
"10","22/07/2013 19:52:49",NA,22,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Incompleto","Não","Concordo","Concordo","Concordo","Discordo","Discordo","Discordo","Concordo","Discordo","Discordo","Concordo",3,3,3,2,2,2,3,2,2,3,25
"11","22/07/2013 19:58:44",NA,23,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Incompleto","Sim","Concordo Plenamente","Discordo","Concordo Plenamente","Concordo Plenamente","Discordo Plenamente","Discordo","Concordo Plenamente","Discordo Plenamente","Discordo Plenamente","Concordo Plenamente",4,2,4,4,1,2,4,1,1,4,27
"12","22/07/2013 20:16:00",NA,22,NA,NA,"Masculino","Solteiro(a)","Ensino Superior Incompleto","Não","Concordo Plenamente","Discordo Plenamente","Concordo Plenamente","Concordo Plenamente","Concordo Plenamente","Discordo Plenamente","Concordo Plenamente","Discordo","Discordo Plenamente","Concordo",4,1,4,4,4,1,4,2,1,3,28
"13","22/07/2013 20:19:08",NA,21,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Incompleto","Não","Concordo Plenamente","Discordo Plenamente","Concordo Plenamente","Concordo","Discordo","Discordo","Concordo Plenamente","Discordo","Discordo Plenamente","Concordo Plenamente",4,1,4,3,2,2,4,2,1,4,27
"14","22/07/2013 20:26:41",NA,22,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Incompleto","Sim","Concordo","Discordo","Concordo","Concordo","Discordo","Concordo","Concordo","Discordo Plenamente","Discordo","Concordo",3,2,3,3,2,3,3,1,2,3,25
"15","22/07/2013 20:29:27",NA,23,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Incompleto","Sim","Concordo","Concordo","Concordo","Concordo Plenamente","Discordo","Discordo","Concordo","Discordo","Discordo Plenamente","Concordo",3,3,3,4,2,2,3,2,1,3,26
"16","22/07/2013 20:30:03",NA,23,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Incompleto","Sim","Concordo","Concordo","Concordo","Concordo","Discordo Plenamente","Discordo","Concordo","Discordo Plenamente","Discordo Plenamente","Concordo Plenamente",3,3,3,3,1,2,3,1,1,4,24
"17","22/07/2013 20:33:35",NA,23,NA,NA,"Feminino","Solteiro(a)","Ensino Médio Completo","Sim","Concordo","Discordo Plenamente","Concordo","Concordo Plenamente","Discordo Plenamente","Discordo","Concordo","Discordo Plenamente","Discordo Plenamente","Concordo Plenamente",3,1,3,4,1,2,3,1,1,4,23
"18","22/07/2013 20:43:06",NA,21,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Incompleto","Sim","Concordo","Concordo Plenamente","Concordo","Concordo","Discordo","Concordo","Concordo","Discordo Plenamente","Discordo","Concordo",3,4,3,3,2,3,3,1,2,3,27
"19","22/07/2013 21:00:22",NA,24,NA,NA,"Masculino","Solteiro(a)","Ensino Superior Incompleto","Sim","Concordo","Discordo Plenamente","Concordo Plenamente","Concordo","Discordo Plenamente","Discordo Plenamente","Concordo","Discordo Plenamente","Discordo Plenamente","Concordo",3,1,4,3,1,1,3,1,1,3,21
"20","22/07/2013 21:40:01",NA,21,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Incompleto","Sim","Concordo Plenamente","Discordo","Concordo Plenamente","Concordo Plenamente","Discordo Plenamente","Discordo","Concordo Plenamente","Discordo","Discordo Plenamente","Concordo",4,2,4,4,1,2,4,2,1,3,27
"21","22/07/2013 21:57:41",NA,21,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Incompleto","Sim","Concordo","Discordo","Concordo","Concordo","Discordo Plenamente","Discordo","Concordo","Discordo","Discordo","Concordo",3,2,3,3,1,2,3,2,2,3,24
"22","22/07/2013 22:17:17",NA,23,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Incompleto","Sim","Concordo Plenamente","Discordo","Discordo","Concordo Plenamente","Discordo Plenamente","Discordo","Concordo Plenamente","Discordo Plenamente","Discordo Plenamente","Concordo Plenamente",4,2,2,4,1,2,4,1,1,4,25
"23","22/07/2013 22:17:35",NA,21,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Incompleto","Sim","Concordo Plenamente","Discordo","Concordo","Concordo Plenamente","Discordo Plenamente","Concordo","Concordo","Discordo","Discordo","Concordo",4,2,3,4,1,3,3,2,2,3,27
"24","22/07/2013 22:19:46",NA,22,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Incompleto","Não","Concordo","Discordo Plenamente","Concordo Plenamente","Concordo Plenamente","Discordo Plenamente","Discordo Plenamente","Concordo Plenamente","Discordo Plenamente","Discordo Plenamente","Concordo",3,1,4,4,1,1,4,1,1,3,23
"25","22/07/2013 22:27:00",NA,21,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Incompleto","Sim","Concordo","Discordo","Concordo","Discordo","Discordo","Discordo","Concordo","Discordo","Discordo","Concordo",3,2,3,2,2,2,3,2,2,3,24
"26","22/07/2013 22:48:23",NA,25,NA,NA,"Feminino","Solteiro(a)","Ensino Fundamental Completo","Sim","Concordo","Discordo Plenamente","Concordo","Concordo Plenamente","Concordo Plenamente","Discordo","Concordo","Concordo","Discordo Plenamente","Concordo Plenamente",3,1,3,4,4,2,3,3,1,4,28
"27","22/07/2013 22:48:49",NA,22,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Incompleto","Sim","Concordo","Discordo","Concordo","Concordo","Discordo","Concordo","Concordo","Discordo","Discordo","Concordo",3,2,3,3,2,3,3,2,2,3,26
"28","22/07/2013 22:58:15",NA,25,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Incompleto","Sim","Concordo","Concordo","Concordo","Discordo","Discordo","Concordo","Concordo","Discordo","Concordo","Discordo",3,3,3,2,2,3,3,2,3,2,26
"29","23/07/2013 00:05:01",NA,24,NA,NA,"Masculino","Solteiro(a)","Ensino Superior Incompleto","Sim","Concordo","Concordo","Concordo Plenamente","Concordo Plenamente","Discordo","Discordo","Concordo","Concordo","Discordo","Concordo",3,3,4,4,2,2,3,3,2,3,29
"30","23/07/2013 07:22:24",NA,26,NA,NA,"Feminino","Casado(a)","Ensino Superior Completo","Sim","Concordo","Discordo","Concordo Plenamente","Concordo","Concordo","Concordo","Concordo Plenamente","Discordo","Discordo","Concordo",3,2,4,3,3,3,4,2,2,3,29
"31","23/07/2013 07:43:51",NA,30,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Completo","Sim","Concordo Plenamente","Discordo Plenamente","Concordo Plenamente","Concordo Plenamente","Discordo Plenamente","Discordo Plenamente","Concordo Plenamente","Discordo Plenamente","Discordo Plenamente","Concordo Plenamente",4,1,4,4,1,1,4,1,1,4,25
"32","23/07/2013 07:54:14",NA,22,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Incompleto","Sim","Concordo","Discordo","Concordo Plenamente","Concordo","Discordo Plenamente","Discordo Plenamente","Concordo Plenamente","Discordo Plenamente","Discordo Plenamente","Concordo",3,2,4,3,1,1,4,1,1,3,23
"33","23/07/2013 07:59:12",NA,21,NA,NA,"Masculino","Solteiro(a)","Ensino Superior Incompleto","Sim","Concordo","Discordo Plenamente","Concordo Plenamente",NA,"Concordo","Concordo","Concordo","Concordo","Discordo","Concordo Plenamente",3,1,4,NA,3,3,3,3,2,4,NA
"34","23/07/2013 08:42:52",NA,26,NA,NA,"Masculino","Casado(a)","Ensino Superior Incompleto","Sim","Concordo Plenamente","Discordo","Concordo","Concordo","Discordo Plenamente","Concordo","Concordo Plenamente","Discordo Plenamente","Discordo Plenamente","Concordo Plenamente",4,2,3,3,1,3,4,1,1,4,26
"35","23/07/2013 09:20:10",NA,25,NA,NA,"Masculino","Casado(a)","Ensino Superior Incompleto","Sim","Concordo","Discordo Plenamente","Concordo","Discordo","Discordo Plenamente","Discordo Plenamente","Concordo","Concordo","Discordo Plenamente","Concordo Plenamente",3,1,3,2,1,1,3,3,1,4,22
"36","23/07/2013 10:20:15",NA,24,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Completo","Não","Concordo","Concordo","Concordo","Concordo Plenamente","Discordo","Discordo","Concordo Plenamente","Discordo","Discordo","Concordo",3,3,3,4,2,2,4,2,2,3,28
"37","23/07/2013 10:43:41",NA,28,NA,NA,"Feminino","Casado(a)","Ensino Superior Completo","Sim","Concordo","Concordo","Concordo","Concordo","Discordo","Discordo","Concordo","Discordo","Discordo","Concordo",3,3,3,3,2,2,3,2,2,3,26
"38","23/07/2013 11:10:58",NA,22,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Incompleto","Sim","Concordo","Concordo","Concordo Plenamente","Concordo Plenamente","Discordo","Discordo","Concordo Plenamente","Concordo","Discordo","Concordo",3,3,4,4,2,2,4,3,2,3,30
"39","23/07/2013 11:14:23",NA,22,NA,NA,"Masculino","Solteiro(a)","Ensino Superior Incompleto","Não","Concordo Plenamente","Concordo","Concordo","Concordo Plenamente","Discordo","Concordo Plenamente","Concordo","Discordo","Discordo","Concordo",4,3,3,4,2,4,3,2,2,3,30
"40","23/07/2013 11:32:12",NA,22,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Incompleto","Sim","Concordo Plenamente","Concordo","Concordo Plenamente","Concordo Plenamente","Discordo Plenamente","Discordo","Concordo Plenamente","Discordo","Discordo Plenamente","Concordo",4,3,4,4,1,2,4,2,1,3,28
"41","23/07/2013 11:36:56",NA,36,NA,NA,"Masculino","Solteiro(a)","Ensino Superior Completo","Não","Concordo","Concordo","Concordo","Concordo","Discordo Plenamente","Concordo","Concordo Plenamente","Concordo","Discordo Plenamente","Discordo",3,3,3,3,1,3,4,3,1,2,26
"42","23/07/2013 12:12:25",NA,32,NA,NA,"Masculino","Casado(a)","Ensino Médio Completo","Sim","Discordo","Concordo","Concordo Plenamente","Concordo Plenamente","Concordo",NA,NA,"Concordo","Concordo","Concordo",2,3,4,4,3,NA,NA,3,3,3,NA
"43","23/07/2013 12:14:56",NA,32,NA,NA,"Feminino","Casado(a)","Ensino Superior Completo","Sim","Concordo Plenamente","Discordo Plenamente","Concordo Plenamente","Concordo Plenamente","Discordo Plenamente","Discordo Plenamente","Concordo Plenamente","Discordo Plenamente","Discordo Plenamente","Concordo Plenamente",4,1,4,4,1,1,4,1,1,4,25
"44","23/07/2013 12:42:09",NA,25,NA,NA,"Masculino","Casado(a)","Ensino Médio Completo","Não","Concordo","Discordo Plenamente","Concordo Plenamente","Concordo Plenamente","Discordo Plenamente","Discordo Plenamente","Concordo Plenamente","Discordo Plenamente","Discordo Plenamente","Concordo Plenamente",3,1,4,4,1,1,4,1,1,4,24
"45","23/07/2013 12:48:44",NA,23,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Incompleto","Não","Concordo","Concordo","Concordo","Concordo Plenamente","Discordo","Discordo","Concordo Plenamente","Discordo","Discordo","Concordo",3,3,3,4,2,2,4,2,2,3,28
"46","23/07/2013 13:37:51",NA,23,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Incompleto","Não","Concordo","Concordo","Concordo","Concordo","Discordo","Concordo","Concordo","Concordo","Concordo","Discordo",3,3,3,3,2,3,3,3,3,2,28
"47","23/07/2013 14:21:18",NA,22,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Incompleto","Sim","Discordo","Discordo","Concordo","Concordo","Discordo","Concordo","Concordo","Concordo Plenamente","Concordo","Concordo",2,2,3,3,2,3,3,4,3,3,28
"48","23/07/2013 19:05:24",NA,32,NA,NA,"Masculino","Solteiro(a)","Ensino Superior Incompleto","Sim","Concordo","Discordo Plenamente","Concordo Plenamente","Concordo Plenamente","Discordo Plenamente","Discordo Plenamente","Concordo Plenamente","Discordo Plenamente","Discordo Plenamente","Discordo",3,1,4,4,1,1,4,1,1,2,22
"49","23/07/2013 19:10:58",NA,26,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Completo","Sim","Concordo","Discordo",NA,"Concordo","Discordo Plenamente","Discordo","Concordo","Concordo","Discordo","Concordo",3,2,NA,3,1,2,3,3,2,3,NA
"50","23/07/2013 19:16:44",NA,24,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Incompleto","Sim","Discordo","Discordo","Concordo","Discordo","Discordo","Concordo","Discordo","Discordo","Concordo","Discordo",2,2,3,2,2,3,2,2,3,2,23
"51","23/07/2013 19:30:34",NA,23,NA,NA,"Masculino","Solteiro(a)","Ensino Superior Incompleto","Não","Discordo","Discordo","Concordo","Concordo","Discordo","Discordo","Concordo","Discordo","Discordo","Concordo",2,2,3,3,2,2,3,2,2,3,24
"52","24/07/2013 10:40:30",NA,26,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Completo","Sim","Concordo Plenamente","Discordo","Concordo Plenamente","Concordo Plenamente","Discordo Plenamente","Discordo","Concordo Plenamente","Discordo Plenamente","Discordo Plenamente","Concordo Plenamente",4,2,4,4,1,2,4,1,1,4,27
"53","24/07/2013 16:13:08",NA,51,NA,NA,"Masculino","Solteiro(a)","Ensino Médio Completo","Sim","Concordo Plenamente","Discordo Plenamente","Concordo","Concordo","Discordo","Discordo Plenamente","Concordo","Discordo Plenamente","Discordo Plenamente","Concordo Plenamente",4,1,3,3,2,1,3,1,1,4,23
"54","24/07/2013 19:34:54",NA,58,NA,NA,"Masculino","Casado(a)","Ensino Superior Completo","Sim","Concordo Plenamente","Discordo Plenamente","Concordo Plenamente","Concordo Plenamente","Discordo Plenamente","Discordo Plenamente","Concordo Plenamente","Discordo Plenamente","Discordo Plenamente","Concordo Plenamente",4,1,4,4,1,1,4,1,1,4,25
"55","25/07/2013 08:28:16",NA,NA,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Incompleto","Sim","Concordo Plenamente","Discordo Plenamente","Concordo Plenamente","Concordo Plenamente","Discordo Plenamente","Discordo Plenamente","Concordo Plenamente","Discordo Plenamente","Discordo Plenamente","Concordo Plenamente",4,1,4,4,1,1,4,1,1,4,25
"56","29/07/2013 20:06:34",NA,55,NA,NA,"Feminino","Casado(a)","Ensino Médio Completo","Sim","Concordo Plenamente","Discordo Plenamente","Concordo Plenamente","Concordo Plenamente","Discordo Plenamente","Discordo Plenamente","Concordo Plenamente","Discordo Plenamente","Discordo Plenamente","Concordo Plenamente",4,1,4,4,1,1,4,1,1,4,25
